Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-08-03,2026-08-04,1631,TRADER JOE S #259,Merchandise,22.46,
2026-08-02,2026-08-04,1631,IN-N-OUT SAN MARCOS,Dining,16.97,
2026-08-01,2026-08-03,1631,TRADER JOE S #259,Merchandise,24.90,
2026-07-30,2026-07-31,1631,TRADER JOE S #259,Merchandise,102.80,
2026-07-29,2026-07-30,1631,CIRCLEK #2701984,Gas/Automotive,46.90,
2026-07-26,2026-07-28,4072,SHELL OIL10008224015,Gas/Automotive,58.08,
2026-07-25,2026-07-27,2720,TRADER JOE S #259,Merchandise,56.94,
2026-07-25,2026-07-27,1631,LLOYDS OF AVALON,Merchandise,12.87,
2026-07-24,2026-07-25,2720,TRADER JOE S #259,Merchandise,67.01,
2026-07-22,2026-07-23,1631,TRADER JOE S #259,Merchandise,22.05,
2026-07-20,2026-07-21,4072,MELROSE GAS,Gas/Automotive,51.11,
2026-07-20,2026-07-20,6465,ELECTRONIC PAYMENT,Payment/Credit,,1402.39
2026-07-18,2026-07-20,4072,TRADER JOE S #259,Merchandise,37.82,
2026-07-18,2026-07-20,4072,TARGET T-1040,Merchandise,17.05,
2026-07-17,2026-07-18,1631,10416 CAVA CREEKSIDE M,Dining,22.67,
2026-07-16,2026-07-17,1631,TRADER JOE S #259,Merchandise,13.52,
2026-07-13,2026-07-15,1631,URBAN PLATES #4,Dining,4.64,
2026-07-13,2026-07-15,1631,IN-N-OUT SAN MARCOS,Dining,26.15,
2026-07-13,2026-07-15,4072,CIRCLEK #2701984,Gas/Automotive,63.21,
2026-07-13,2026-07-14,1631,TRADER JOE S #259,Merchandise,11.98,
2026-07-13,2026-07-14,1631,TRADER JOE S #259,Merchandise,74.26,
2026-07-12,2026-07-13,4072,CVS/PHARMACY #09181,Health Care,19.91,
2026-07-12,2026-07-13,1631,CIRCLEK #2701984,Gas/Automotive,41.19,
2026-07-12,2026-07-13,4072,SQ *THE BARISTA BOTANI,Dining,17.24,
2026-07-10,2026-07-11,4072,DAV - OCEANSIDE,Other Services,9.63,
2026-07-08,2026-07-09,1631,TRADER JOE S #259,Merchandise,55.48,
2026-07-08,2026-07-09,1631,CIRCLEK #2701984,Gas/Automotive,39.39,
2026-07-07,2026-07-08,2720,SQ *HAIR DESIGNS BY KO,Other Services,27.00,
2026-07-06,2026-07-07,1631,SEPHORA NORTH COUNTY S,Merchandise,13.10,
2026-07-03,2026-07-04,1631,CIRCLEK #2701984,Gas/Automotive,41.08,
2026-07-02,2026-07-03,1631,SQ *BEACH CITY SMOOTHI,Dining,7.95,
2026-06-29,2026-06-30,1631,BOARD BREW COASTAL CAR,Dining,15.68,
2026-06-28,2026-06-29,1631,CIRCLE K 01984,Gas/Automotive,35.72,
2026-06-27,2026-06-29,2720,TRADER JOE S #259,Merchandise,112.65,
2026-06-26,2026-06-29,1631,SPROUTS FARMERS MARK,Merchandise,9.99,
2026-06-24,2026-06-25,1631,CIRCLE K 01984,Gas/Automotive,46.59,
2026-06-23,2026-06-25,1631,IN-N-OUT VISTA,Dining,25.98,
2026-06-23,2026-06-24,4072,TRADER JOE S #362,Merchandise,22.19,
2026-06-21,2026-06-23,2720,REI #29 SAN DIEGO,Merchandise,10.52,
2026-06-20,2026-06-22,2720,TRADER JOE S #259,Merchandise,209.21,
2026-06-20,2026-06-22,1631,IN-N-OUT TEJON RANCH,Dining,10.45,
2026-06-18,2026-06-19,1631,LS HUME LAKE CHRISTIAN,Merchandise,3.75,
2026-06-18,2026-06-18,6465,ELECTRONIC PAYMENT,Payment/Credit,,1169.47
2026-06-17,2026-06-18,2720,TRADER JOE S #259,Merchandise,23.63,
2026-06-17,2026-06-18,2720,TARGET T-1040,Merchandise,5.40,
2026-06-16,2026-06-17,2720,TRADER JOE S #259,Merchandise,3.99,
2026-06-14,2026-06-15,2720,TRADER JOE S #259,Merchandise,131.86,
2026-06-10,2026-06-12,4072,10102 CAVA LA JOLLA,Dining,15.30,
2026-06-10,2026-06-11,4072,G&M OIL#198,Gas/Automotive,54.26,
2026-06-06,2026-06-08,4072,SHELL OIL 57444585806,Gas/Automotive,54.71,
2026-06-06,2026-06-08,4072,IN-N-OUT TORRANCE,Dining,22.44,
2026-06-06,2026-06-08,1631,TRADER JOE S #259,Merchandise,205.21,
2026-06-06,2026-06-08,1631,EMMANUEL FAITH COMMUNI,Other,150.00,
2026-06-05,2026-06-06,1631,UPTOWN CHEAPSKATE CARL,Merchandise,89.39,
2026-06-01,2026-06-02,1631,TRADER JOE S #259,Merchandise,236.22,
2026-05-31,2026-06-01,2720,TARGET T-2465,Merchandise,14.86,
2026-05-31,2026-06-01,4072,SQ *LOVESONG COFFEE,Dining,14.00,
2026-05-30,2026-06-01,4072,TRADER JOE S #259,Merchandise,37.43,
2026-05-29,2026-06-01,4072,MTS PRONTO OPEN PAY 1,Other Travel,2.50,
2026-05-29,2026-05-30,1631,SQ *CLASSICAL ACADEMY,Other,10.00,
2026-05-27,2026-05-29,4072,MTS PRONTO OPEN PAY 1,Other Travel,2.50,
2026-05-24,2026-05-26,1631,IN-N-OUT SAN MARCOS,Dining,41.00,
2026-05-23,2026-05-25,4072,TARGET T-1040,Merchandise,89.94,
2026-05-21,2026-05-23,1631,IN-N-OUT ESCONDIDO,Dining,9.57,
2026-05-20,2026-05-20,6465,ELECTRONIC PAYMENT,Payment/Credit,,1240.88
2026-05-18,2026-05-19,4072,CIRCLE K 01984,Gas/Automotive,43.02,
2026-05-15,2026-05-18,4072,SMASHBURGER-1770,Dining,21.78,
2026-05-15,2026-05-16,1631,CIRCLE K 01984,Gas/Automotive,41.34,
2026-05-13,2026-05-14,4072,TRADER JOE S #259,Merchandise,363.07,
2026-05-12,2026-05-14,1631,MEN047 MENCHIES SAN MA,Dining,11.78,
2026-05-09,2026-05-11,1631,IN-N-OUT SAN MARCOS,Dining,4.79,
2026-05-10,2026-05-11,1631,Dicks Sporting Goods,Merchandise,32.48,
2026-05-08,2026-05-11,4072,CHICK-FIL-A #05473,Dining,15.87,
2026-05-05,2026-05-06,4072,JENSENS FOODS SAN DI,Merchandise,28.80,
2026-05-02,2026-05-04,4072,RALPHS FUEL # 1212,Gas/Automotive,39.95,
2026-05-01,2026-05-02,1631,CIRCLE K 01984,Gas/Automotive,59.09,
2026-04-30,2026-05-01,2720,TARGET        00010405,Merchandise,66.42,
2026-04-30,2026-05-01,4072,SUNNIE'S OCEAN BEACH M,Dining,11.72,
2026-04-30,2026-05-01,2720,SQ *HAIR DESIGNS BY KO,Other Services,25.00,
