Transaction Date,Transaction Description,Transaction Type,Debit,Credit,Balance
07/31/2026,ACH Withdrawal VENMO PAYMENT,Debit,$35.00,0,$1151.79
07/30/2026,ACH Withdrawal VENMO PAYMENT,Debit,$100.00,0,$1186.79
07/22/2026,ACH Withdrawal VENMO PAYMENT,Debit,$45.00,0,$1286.79
07/21/2026,ACH Withdrawal VENMO PAYMENT,Debit,$80.00,0,$1331.79
07/20/2026,ACH Deposit TRANSFER From PAYPAL,Credit,0,$3.24,$1411.79
07/13/2026,ACH Withdrawal PAYPAL PURCHASE,Debit,$73.47,0,$1408.55
07/09/2026,ACH Withdrawal VENMO PAYMENT,Debit,$65.00,0,$1482.02
07/08/2026,ACH Withdrawal VENMO PAYMENT,Debit,$30.00,0,$1547.02
07/08/2026,ACH Withdrawal VENMO PURCHASE,Debit,$45.46,0,$1577.02
07/06/2026,ACH Withdrawal VENMO PURCHASE,Debit,$71.44,0,$1622.48
06/16/2026,ACH Deposit From Charles Schwab Bank SSB,Credit,0,$1000.00,$1693.92
06/15/2026,ACH Withdrawal VENMO PAYMENT,Debit,$1000.00,0,$693.92
06/09/2026,ACH Deposit From Charles Schwab Bank SSB,Credit,0,$500.00,$1693.92
06/01/2026,ACH Deposit From PAYPAL WALMART COM,Credit,0,$0.99,$1193.92
05/26/2026,ACH Withdrawal VENMO PAYMENT,Debit,$87.50,0,$1192.93
05/26/2026,ACH Withdrawal VENMO PAYMENT,Debit,$96.00,0,$1280.43
05/26/2026,ACH Withdrawal PAYPAL PURCHASE,Debit,$22.62,0,$1376.43
05/20/2026,ACH Withdrawal VENMO PAYMENT,Debit,$16.00,0,$1399.05
05/20/2026,ACH Withdrawal VENMO PAYMENT,Debit,$30.00,0,$1415.05
05/15/2026,ACH Withdrawal VENMO PAYMENT,Debit,$140.00,0,$1445.05
05/12/2026,ACH Deposit From Charles Schwab Bank SSB,Credit,0,$300.00,$1585.05
05/05/2026,ACH Withdrawal VENMO PAYMENT,Debit,$100.00,0,$1285.05
05/05/2026,ACH Deposit From Charles Schwab Bank SSB,Credit,0,$500.00,$1385.05
05/04/2026,ACH Withdrawal VENMO PAYMENT,Debit,$100.00,0,$885.05
04/29/2026,ACH Withdrawal VENMO PAYMENT,Debit,$90.00,0,$985.05
04/28/2026,ACH Withdrawal VENMO PAYMENT,Debit,$387.00,0,$1075.05
04/07/2026,ACH Deposit From Charles Schwab Bank SSB,Credit,0,$500.00,$1462.05
04/02/2026,ACH Withdrawal VENMO PAYMENT,Debit,$65.00,0,$962.05
04/01/2026,ACH Withdrawal VENMO PAYMENT,Debit,$200.00,0,$1027.05
03/31/2026,ACH Deposit From Charles Schwab Bank SSB,Credit,0,$500.00,$1227.05
03/30/2026,ACH Withdrawal VENMO PAYMENT,Debit,$300.00,0,$727.05
03/02/2026,ACH Withdrawal VENMO PAYMENT,Debit,$90.00,0,$1027.05
03/02/2026,ACH Withdrawal VENMO PAYMENT,Debit,$200.00,0,$1117.05
02/23/2026,ACH Withdrawal VENMO PAYMENT,Debit,$8.00,0,$1317.05
02/09/2026,ACH Withdrawal VENMO PAYMENT,Debit,$65.00,0,$1325.05
02/05/2026,ACH Withdrawal VENMO PAYMENT,Debit,$90.00,0,$1390.05
01/30/2026,ACH Withdrawal VENMO PAYMENT,Debit,$40.00,0,$1480.05
01/30/2026,ACH Withdrawal VENMO PAYMENT,Debit,$45.00,0,$1520.05
01/26/2026,ACH Withdrawal VENMO PAYMENT,Debit,$90.00,0,$1565.05
