"Date","Status","Type","CheckNumber","Description","Withdrawal","Deposit","RunningBalance"
"08/04/2026","Posted","ACH","","TARGET ONLINE PMT 260804","$587.94","","$1,738.99"
"08/03/2026","Posted","ACH","","PNC MORTGAGE ONLINE PMT 260803","$3,400.00","","$2,326.93"
"07/31/2026","Posted","INTADJUST","","Interest Paid","","$0.01","$5,726.93"
"07/31/2026","Posted","ATMREBATE","","ATM Fee Rebate","","$35.80","$5,726.92"
"07/31/2026","Posted","ATM","","USAACATM19 ...795 SHADOW R VISTA","$203.95","","$5,691.12"
"07/31/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260731~ Tran: ACH","","$5,895.07","$5,895.07"
"07/28/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$699.00","$0.00"
"07/28/2026","Posted","CHECK","995907","Check Paid #995907","$699.00","","-$699.00"
"07/27/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$165.80","$0.00"
"07/27/2026","Posted","ACH","","DISCOVER CARD ONLINE PMT 260727","$200.00","","-$165.80"
"07/26/2026","Posted","DEPOSIT","","Deposit Mobile Banking","","$34.20","$34.20"
"07/23/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$551.90","$0.00"
"07/23/2026","Posted","ACH","","CITIBANK CRDT CD ONLINE PMT 260723","$3,000.00","","-$551.90"
"07/22/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$404.00","","$2,448.10"
"07/20/2026","Posted","ACH","","CAPITAL ONE CARD ONLINE PMT 260720","$1,402.39","","$2,852.10"
"07/20/2026","Posted","ACH","","CALIFORNIA CU ONLINE PMT 260720","$400.00","","$4,254.49"
"07/20/2026","Posted","ACH","","SDG&E ONLINE PMT 260720","$378.68","","$4,654.49"
"07/17/2026","Posted","ATM","","Escondido 2 T 2085 E  V Escondido","$104.00","","$5,033.17"
"07/17/2026","Posted","ATM","","USAACATM19 ...795 SHADOW R VISTA","$203.95","","$5,137.17"
"07/17/2026","Posted","ACH","","MAZDA AUTO-RETAI ONLINE PMT 260717","$350.00","","$5,341.12"
"07/16/2026","Posted","ATM","","USAACATM19 ...795 SHADOW R VISTA","$203.95","","$5,691.12"
"07/15/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260715~ Tran: ACH","","$5,895.07","$5,895.07"
"07/11/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$389.90","$0.00"
"07/11/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$504.00","","-$389.90"
"07/10/2026","Posted","ATM","","USAACATM19 ...795 SHADOW R VISTA","$203.95","","$114.10"
"07/09/2026","Posted","ATM","","BANK OF AMERICA *NORTH VISTA","$204.00","","$318.05"
"07/08/2026","Posted","ACH","","AAA INSURANCE PAYMENT 260707~ Tran: ACHD","$353.21","","$522.05"
"07/05/2026","Posted","VISA","","VZWRLSS*APOCC VISW 800-922-0204","$278.30","","$875.26"
"07/03/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$404.00","","$1,153.56"
"07/03/2026","Posted","ACH","","TARGET ONLINE PMT 260703","$633.96","","$1,557.56"
"07/03/2026","Posted","ACH","","CHASE CARD SERV ONLINE PMT 260703","$100.00","","$2,191.52"
"07/02/2026","Posted","ACH","","PNC MORTGAGE ONLINE PMT 260702","$3,400.00","","$2,291.52"
"07/01/2026","Posted","CREDIT","","ZELLE FROM KADEN BONNER CAMPBELL","","$50.00","$5,691.52"
"06/30/2026","Posted","INTADJUST","","Interest Paid","","$0.02","$5,641.52"
"06/30/2026","Posted","ATMREBATE","","ATM Fee Rebate","","$44.75","$5,641.50"
"06/30/2026","Posted","ATM","","Escondido 2 T 2085 E  V Escondido","$204.00","","$5,596.75"
"06/30/2026","Posted","ACH","","EDCO WASTE & REC ONLINE PMT 260630","$94.32","","$5,800.75"
"06/30/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260630~ Tran: ACH","","$5,895.07","$5,895.07"
"06/26/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$304.00","$0.00"
"06/26/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$304.00","","-$304.00"
"06/26/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$200.00","$0.00"
"06/26/2026","Posted","ACH","","DISCOVER CARD ONLINE PMT 260626","$200.00","","-$200.00"
"06/25/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$699.00","$0.00"
"06/25/2026","Posted","CHECK","995898","Check Paid #995898","$699.00","","-$699.00"
"06/23/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$10,358.61","$0.00"
"06/23/2026","Posted","ACH","","CITIBANK CRDT CD ONLINE PMT 260623","$12,458.57","","-$10,358.61"
"06/23/2026","Posted","ACH","","VISTA IRRIGATION ONLINE PMT 260623","$489.12","","$2,099.96"
"06/20/2026","Posted","DEPOSIT","","Deposit Mobile Banking","","$210.00","$2,589.08"
"06/20/2026","Posted","DEPOSIT","","Deposit Mobile Banking","","$462.00","$2,379.08"
"06/20/2026","Posted","ATM","","USAACATM19 ...795 SHADOW R VISTA","$203.95","","$1,917.08"
"06/19/2026","Posted","ATM","","USAACATM19 ...795 SHADOW R VISTA","$203.95","","$2,121.03"
"06/18/2026","Posted","ATM","","BANK OF AMERICA *RANCHO VISTA","$204.00","","$2,324.98"
"06/18/2026","Posted","ACH","","CAPITAL ONE CARD ONLINE PMT 260618","$1,169.47","","$2,528.98"
"06/18/2026","Posted","ACH","","CALIFORNIA CU ONLINE PMT 260618","$400.00","","$3,698.45"
"06/18/2026","Posted","ACH","","MAZDA AUTO-RETAI ONLINE PMT 260618","$350.00","","$4,098.45"
"06/18/2026","Posted","ACH","","SDG&E ONLINE PMT 260618","$292.62","","$4,448.45"
"06/18/2026","Posted","ATM","","A649728 2085 E. VALLEY ESCONDIDO","$204.00","","$4,741.07"
"06/16/2026","Posted","ACH","","DISCOVER (CONA) NET/MOBILE","$1,000.00","","$4,945.07"
"06/15/2026","Posted","ACH","","SERVICENOW INC PAYROLL 260615~ Tran: ACH","","$5,895.07","$5,945.07"
"06/14/2026","Posted","CREDIT","","ZELLE FROM KADEN BONNER CAMPBELL","","$50.00","$50.00"
"06/11/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$699.00","$0.00"
"06/11/2026","Posted","CHECK","995889","Check Paid #995889","$699.00","","-$699.00"
"06/11/2026","Posted","TRANSFER","","Overdraft Transfer from Brokerage ...443","","$74.47","$0.00"
"06/11/2026","Posted","ATM","","USAACATM19 ...795 SHADOW R VISTA","$203.95","","-$74.47"
"06/10/2026","Posted","ACH","","AAA INSURANCE PAYMENT 260609~ Tran: ACHD","$353.21","","$129.48"
"06/09/2026","Posted","ATM","","P350495 ...985 SOUTH HIGHW MOAB","$204.00","","$482.69"
"06/09/2026","Posted","ATM","","Loves TS 5812 1915 S ST SALINA","$304.95","","$686.69"
"06/09/2026","Posted","ACH","","DISCOVER (CONA) NET/MOBILE","$500.00","","$991.64"
"06/05/2026","Posted","VISA","","VZWRLSS*APOCC VISW 800-922-0204","$278.30","","$1,491.64"
"06/04/2026","Posted","ATM","","USAACATM19 ...795 SHADOW R VISTA","$203.95","","$1,769.94"
"06/04/2026","Posted","ATM","","A649728 2085 E. VALLEY ESCONDIDO","$104.00","","$1,973.89"
"06/04/2026","Posted","ACH","","TARGET ONLINE PMT 260604","$240.98","","$2,077.89"
"06/04/2026","Posted","ACH","","CHASE CARD SERV ONLINE PMT 260604","$100.00","","$2,318.87"
"06/02/2026","Posted","ACH","","PNC MORTGAGE ONLINE PMT 260602","$3,400.00","","$2,418.87"
"05/29/2026","Posted","INTADJUST","","Interest Paid","","$0.01","$5,818.87"
